,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,pc_9,pc_10,pc_11,pc_12,pc_13,pc_14,pc_15,pc_16,pc_17,pc_18,pc_19,pc_20,pc_21,pc_22,pc_23,pc_24,pc_25
228,-4.2334156,-6.799253,0.15607874,1.3445519,2.2551866,0.2596679,-1.7142248,-0.42525885,2.422255,1.8334913,-6.9270506,0.09112195,6.118133,-3.6198683,-1.7661815,-2.3039324,0.6916331,1.0579381,0.55697924,1.7915281,-5.16137,1.0507522,-2.319733,-0.07955215,1.1470507
129,-5.112704,0.862995,-2.3252673,3.284233,-3.4564445,4.021488,-0.89387894,-3.094609,-4.15934,-2.152735,1.4556445,6.885897,-8.374871,4.1193027,2.4737425,1.6928072,2.061965,5.653231,-1.1786985,-0.27356464,-9.0591064e-05,-1.9659574,1.296974,-0.023055414,1.3376652
20705,-3.1154056,-1.234124,3.6676466,-2.4069088,-0.9945475,5.1130295,-6.098555,-2.0643127,-2.0786777,-2.5644524,-6.6957483,-6.618831,-1.3134736,2.327647,4.336931,-0.19894941,1.1264892,-1.5201967,-0.017371522,0.5753172,1.0063069,0.056460023,-4.6897483,5.4047117,-5.9931045
20665,7.6793637,7.834392,-1.0602419,2.5773923,0.44559678,0.44540894,-0.07375552,-1.1974466,-1.8538877,-1.7212579,-0.95805866,-0.5375954,0.42500782,4.142373,-0.0126963435,2.8173857,2.9312248,-1.7916807,-1.2874948,1.6353158,-1.1949435,-0.29295084,0.19123915,-0.84139407,1.7951562
20649,-2.1884515,-2.0162284,3.030729,-0.5327531,0.28217173,9.029705,-2.3948357,9.347269,-0.9035646,-6.2708635,-0.7067353,-5.1890907,3.8635314,-2.8952944,1.1333566,6.5275087,-1.855135,-0.3795091,-1.7128019,-0.77668494,-1.9127244,-5.0901303,5.3370047,-0.6496776,-0.38916576
20673,-11.093131,18.743328,1.4559728,-0.38277596,2.367634,-0.9957177,-2.7183862,-1.4417313,0.8670435,3.4027739,-5.458514,-5.27471,-0.39999875,1.9979821,-0.9588856,-2.283447,-2.1138794,1.6084625,-0.9027805,-3.197415,2.809631,0.5056781,3.3564847,2.6822824,-2.1822567
20653,-0.18336226,-2.2147946,2.9661741,-0.027446374,-2.3336458,-4.27028,2.987292,4.8119497,2.56343,-5.3998604,0.05516638,-5.8109517,7.6680565,3.5980418,0.16671556,-0.47552922,-1.5223881,-0.031556703,-1.5902224,-1.9881047,-1.6820601,0.91140515,1.8598628,2.7772923,0.33181196
20658,-2.05855,-5.595685,4.812793,2.6043732,1.3588513,7.027254,-6.800423,2.1235213,-0.0070349113,-6.304899,-0.36146316,-0.8207334,0.15391868,4.606043,2.4862766,4.776126,-6.489506,3.4800673,-0.51659626,0.94709915,2.8521996,0.42589787,2.9968238,2.6785486,-0.04707522
20720,-9.353593,19.424635,2.3215435,2.0153413,3.9986575,-0.7070205,3.9161468,2.1146479,4.226586,-2.606239,-2.5299613,-6.370955,0.7612728,0.19409087,0.9024704,-1.8860335,-1.7452468,2.8294964,-1.3888043,-2.5654294,1.6565304,-0.7854545,2.1166418,-0.4328855,-1.8678321
12797,-4.1621146,-3.4783247,0.25731382,1.1635797,3.437957,5.7943487,1.7344425,2.0580332,-2.4466124,-1.9996805,-1.6854558,4.3494663,2.0474994,-1.0825269,-7.957362,4.2136602,-3.5746317,-1.2948592,4.4214373,-1.850628,-0.43045855,-2.0469978,4.08433,-3.559036,-0.16472808
