,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,pc_9,pc_10
12054,-4.999926,-2.5253825,-6.9658136,1.6378882,-2.7787557,-0.5734987,4.7770214,-2.0948632,-1.3964947,-1.9775363
12441,-4.709085,0.24747255,0.62570566,1.6554407,-0.43103892,-0.8382764,11.146228,6.6189833,-2.6342618,6.4638605
12863,-8.669192,-1.0491825,-8.804046,-4.236059,-3.5122378,-1.3314286,1.6510808,-7.1627264,-6.5076704,0.9223044
12676,1.3944663,-1.9301735,2.9821224,9.345244,4.099505,0.07123427,0.40427953,-1.0455395,4.1731725,7.257095
12641,12.798196,3.3115954,-3.9512017,-0.9804111,4.1425333,-1.1187731,-0.055188775,1.309993,1.4859643,3.7414207
12528,-9.585278,20.02916,1.6278714,1.8124774,2.2756152,-0.34089807,-0.33002707,-0.83259434,2.0326176,-1.090071
12061,-3.1330056,-4.866897,-7.04737,1.8353467,4.7552743,-2.0732281,0.44331378,0.38275737,-0.3299532,-2.0302143
12343,-4.7676277,0.78401965,-6.628445,0.05467003,-4.4526854,-1.2790247,1.7595967,2.350607,4.392139,-2.1101155
12467,-6.0121503,-1.7148408,-5.2733655,-0.012429045,2.1245525,-3.573379,3.0045042,2.9595113,3.57997,-2.22941
12516,-8.769695,-1.0046072,-10.444975,-2.144104,-6.1768165,-4.3122673,-2.7110589,-6.442953,-1.3989038,2.982504
12811,-4.578314,-5.019096,-0.9268784,-1.6067109,-4.6705523,-1.674848,-7.4196687,3.1479552,-5.026462,4.3371143
12914,-12.294813,18.97245,0.75667554,-0.8310836,1.4413366,-1.5245223,-6.7751074,-3.1094272,1.3934249,4.298876
12034,-10.494498,5.5917273,0.4052456,-2.6200175,-5.057118,4.577493,-1.6670654,-2.220179,-1.2555232,2.0137532
12837,-12.497638,18.863358,1.0222522,0.47069308,1.2699957,-0.5748498,-3.0532317,-6.4548798,2.87292,1.8870459
12824,-5.4879518,-0.40237948,3.8811193,1.8171692,1.0689849,7.860223,-6.794188,5.0235133,-4.339603,-1.2155688
12704,-4.5560594,3.7760282,-5.320845,2.7356362,-3.8980803,-3.060632,3.3494103,4.0601707,1.480952,2.3193674
12103,-8.789318,-0.2735567,2.7987776,-3.9316268,5.343837,-0.5749981,-5.110132,1.216995,-1.2505759,-0.30036524
12876,-2.3860748,0.0132830255,-7.742186,3.7418349,-4.7365737,-7.1760993,-0.5380709,0.5374136,0.39459273,8.378184
12181,0.22969238,0.20512709,2.192087,3.1616433,9.187138,1.5613449,-4.025438,10.982555,2.3972585,-1.7489784
12736,11.834275,6.450981,2.0038886,-0.7111711,9.078552,2.8374019,-3.5066829,2.4945388,-5.6900964,0.24971636
12040,-1.708984,-5.8230867,4.918134,9.920364,6.364639,1.385332,-1.1816125,-4.6445746,-4.8317356,1.4633108
12926,-7.080662,-1.9263881,-7.627615,-2.9074087,-5.138176,-0.9217336,-1.691531,-7.6293473,-8.587585,4.500219
12580,-7.0365605,2.8332634,-5.0013275,0.13826151,-0.39131737,-2.8695607,-3.4862096,2.6529238,-2.0172048,-1.5884836
12068,-11.683119,19.052216,1.6916585,2.3289142,0.73674697,-0.41975954,-5.11695,-4.4966116,1.5051883,0.43326685
12047,-5.461923,-3.0520353,2.0517373,-4.1972785,9.919241,-0.49091044,3.846182,0.5836104,0.6339285,-3.5712955
12384,0.5085176,-4.142845,2.8609982,15.639026,5.092268,0.9221466,-3.0603247,-0.27645802,0.49986538,0.538485
12492,-5.0693913,1.6594809,-2.699224,-0.021479825,-3.9823554,6.012115,2.1721537,7.9884176,5.602422,-0.4488111
12413,-5.3648443,1.284924,1.2491902,-2.850636,5.6801677,2.6411388,3.5350082,-2.856618,-4.119934,2.3297603
12090,-5.9256225,-3.4341931,-0.48022726,1.3649479,-1.8717115,1.4065428,-1.8556706,3.9817033,2.474044,3.5405855
18352,-11.546689,19.105513,1.574054,-0.56081426,2.420802,-0.68400466,-2.4826121,-1.3007542,2.0526605,1.7794251
18316,-8.371234,4.4250536,-9.765182,-0.64329517,-4.911119,-7.0963073,-3.4292078,3.579138,-5.0232,2.5821192
18366,2.2567942,-4.9617043,8.396649,0.5015692,4.603714,-2.6907895,1.0596061,1.2386914,1.3502795,0.21419744
18140,-5.99921,-3.7209215,-3.73517,1.3264571,-7.078717,6.3843737,7.4825296,3.9547958,-0.88547045,1.7515438
18294,-3.2236967,-7.3851876,-1.846008,-2.0968542,7.861616,-0.43512365,2.7950697,-0.0975242,3.934183,2.0629134
18372,-3.519383,-5.030235,-5.563137,6.726309,1.586909,-0.12148774,8.657867,0.7659697,-5.812188,-1.4304152
18327,-4.9878616,0.8972203,3.9424546,2.3270462,-0.7785225,9.316497,-0.29009408,5.8812027,0.64830863,3.5491006
18207,-6.102587,-0.55915636,-1.6293504,-4.817269,-0.697568,-1.5059239,-3.465145,-2.7736268,4.9823885,3.2774198
18236,-6.5293922,-2.7332585,-3.9440591,-2.310569,-4.7826724,-3.9153411,-1.950276,-6.461148,1.255347,-6.211362
18260,-9.600753,0.060349494,-9.704728,-3.1897337,-3.365073,-1.763407,-0.9280943,2.8901253,5.178416,-0.3338391
18192,-7.567843,-5.676504,-3.3229356,-3.8724077,1.3372906,-1.2516809,5.480011,2.5068312,2.022001,2.5999303
18158,-9.273332,-0.10514281,-2.1228528,-4.6328397,-6.0412235,-5.719423,0.6450304,1.3161162,-1.885592,-3.1654117
18123,13.23514,6.1292186,0.45880824,-0.75049174,1.7685941,1.7042927,0.24615669,0.5322509,3.4244466,4.2846375
18336,-9.774818,-0.51524866,-9.656737,-2.9316957,-3.4662092,-3.34222,3.7893212,-3.9452477,-3.824842,-4.63757
235,13.762891,1.3838613,-4.5858746,-0.7912162,2.6867375,-0.02066091,0.29589295,-1.5478362,2.8091016,2.1192553
248,2.5599625,-3.9934394,6.221221,16.640259,-2.274595,1.5754585,-3.0831306,-0.6403056,5.606754,3.3223722
51,-5.019741,-1.8425071,-0.68209314,-0.0045710695,-0.12955648,-0.28516093,3.395273,3.2687001,8.109509,-2.9945664
105,-7.428033,-4.4224205,-2.3528953,-2.1273599,3.2563903,9.581138,6.481774,-0.9266511,-6.9230647,7.429895
213,15.36147,0.87781525,7.78034,-4.318587,-0.6278638,-5.4649777,-0.67588645,0.961088,-3.0556326,-2.872078
165,-1.8454252,-1.1198524,0.33451363,0.7577073,7.930007,4.83002,-2.7829847,7.57004,3.1500626,-2.9268074
93,14.665296,2.7029943,0.13503279,-1.4718921,-3.490648,-0.7185768,0.975784,-2.890861,0.869581,-2.7585824
18377,-7.942828,3.4598436,-8.132634,3.4197936,-2.1682887,-3.944844,10.320964,3.69855,-9.524896,2.887152
