,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,pc_9,pc_10,pc_11,pc_12,pc_13,pc_14,pc_15,pc_16,pc_17,pc_18,pc_19,pc_20,pc_21,pc_22,pc_23,pc_24,pc_25,pc_26,pc_27,pc_28,pc_29,pc_30,pc_31,pc_32,pc_33,pc_34,pc_35,pc_36,pc_37,pc_38,pc_39,pc_40,pc_41,pc_42,pc_43,pc_44,pc_45,pc_46,pc_47,pc_48,pc_49,pc_50
23714,-5.217848,-1.6206706,-5.3401237,0.5280221,3.1152012,-2.1163926,-5.497011,6.424196,3.5372355,-6.8476057,4.57448,-0.8422375,4.3364077,0.43404415,3.5094683,-1.3712442,-6.1977887,-2.3084097,-2.0058756,-0.9831326,-2.1050682,3.2445195,0.84886026,1.2925371,0.83874977,0.2514786,-0.13104373,-2.9606307,-1.4816933,-1.6914791,-0.41595247,-1.2683846,-3.2754066,2.2635446,-0.2998779,-2.357999,2.784038,-0.6896133,0.7285324,0.50081545,3.9093325,2.8473964,-1.3415275,-2.2863421,-2.3615563,-0.51564306,2.1440918,1.1077638,-0.83985597,1.461917
23816,-5.218974,-2.5707707,0.20898715,1.6656326,10.128123,0.41705108,-4.2868457,0.91420895,0.5144369,-4.6352606,1.8101609,9.01072,8.045673,-0.28275236,4.971202,-0.08239059,-4.291198,-1.2890613,-1.2273489,1.1699789,-2.7655976,2.7550433,-2.1727679,-1.519875,-3.3275974,-3.144095,-1.9316909,-0.203699,-1.9446906,0.18669291,-1.3947525,-0.60509706,-2.5346708,2.7135696,-2.0422404,1.4105628,1.6638292,0.8688915,0.42983603,0.6648939,1.4082307,-0.14897762,-0.080647536,0.58807784,-0.1521206,-1.8523513,0.03067326,0.92524296,-3.44017,2.2160275
23702,-1.2391455,-6.140514,1.548654,-1.2699325,0.83906263,-5.429877,0.30568904,6.6936903,0.37720472,-3.982001,1.1903466,-4.134824,1.3810741,2.7340066,0.071266815,-0.35525316,-7.9099274,6.7968774,-1.7061424,-1.476254,0.36358446,-0.40902185,-2.3776903,-1.9194033,-0.9753321,2.5497813,-3.0646253,-1.0950546,0.6707565,1.4126177,-0.98691064,2.070128,-1.4349332,0.2420353,2.3105855,-3.667715,-0.9472926,1.8417436,-3.505725,-1.2522875,-0.5050226,-2.0139885,-0.98598266,-0.93098813,0.27361482,2.829382,1.6846075,-0.88343513,-0.47934416,1.6604854
23690,-7.653844,-2.3141325,1.6345072,-5.2001977,0.9023953,11.572826,-4.083706,-4.8344493,-2.0004437,3.7364585,3.438521,0.76524276,-0.15188329,-1.8770118,-1.8196518,-3.1211228,-1.3252672,-4.8220844,-6.8053174,1.7038808,4.5102167,2.1957853,-2.839748,-1.6347936,2.9368815,2.2576427,-4.3920865,1.9354633,0.1921304,0.39598414,0.46380252,-2.1657863,1.1581043,1.5740956,-0.15036215,-1.2688617,0.36241007,-1.8932594,1.936259,-2.539686,1.8114195,-0.93863964,0.0116008865,1.9132828,-2.4354646,1.7940407,-1.8610566,0.8980895,-0.11823346,3.3367858
65,-6.677449,-1.7184062,1.9852524,0.16836812,7.113667,3.5510519,-2.6454005,-7.50419,-6.825811,-1.1738765,4.703611,7.6060796,1.1275246,0.5180522,-0.029602015,-1.6650907,-0.29971704,4.806079,-7.013756,-0.47380432,-1.734182,1.2845839,-1.362324,-0.37599275,3.1237745,3.4412704,-1.6230558,5.455461,3.257583,-2.3742385,4.2367506,0.0012344316,-1.0535114,-1.3696384,-1.3946193,1.242917,1.5061791,-0.05203295,-1.6611772,-1.2834423,-0.9506414,-0.3729627,-3.5889952,-2.360543,-5.3487453,4.413787,0.6098967,2.8423164,0.28746465,2.8991075
176,-2.710515,-3.4651964,2.3269236,0.5722265,-3.4327986,-2.0004373,-2.2653897,-1.435107,1.2388463,4.697095,-5.719779,-0.73981667,0.99934006,-0.6366565,-0.42744827,0.061599415,2.5871246,8.04077,-1.0198265,1.8127115,-4.1297483,-3.5453882,2.3134928,-0.8204506,-4.9980674,1.4401568,-1.435699,0.73810893,-1.6587851,3.0384672,0.074763626,0.36466846,-2.2121232,4.5998435,-1.3800539,-2.232936,-0.6448439,0.375839,-2.7379582,-0.10299599,-1.469248,-1.2267308,-2.2994223,3.3580978,0.5623443,0.49998963,-2.5420852,-4.202852,1.6324401,-2.9842849
153,-7.168532,-0.019254636,2.3023655,-0.43684,-0.031683475,8.082084,-1.3755677,4.8768697,7.8914537,1.6500407,1.7092197,6.311714,2.7766924,-7.5863814,-0.7436467,-0.9654315,-2.2471719,-2.0538294,-4.899281,6.0953646,-4.98884,4.605503,0.015372112,0.7019593,2.9048328,-3.1657863,-1.3805528,-1.6619325,-0.5881891,2.3022015,4.692239,1.1319942,2.2130516,2.8085155,-2.5447505,-0.9194214,3.2206113,-2.0733104,-1.4210517,-2.4222224,0.520713,1.5699482,1.3915691,1.9283257,0.82376635,0.29811847,-0.19018236,-1.2157419,0.957386,-0.9167437
187,-3.084153,-6.1830816,5.5636544,-2.7110307,7.4259067,-3.060746,4.7230926,1.9683862,-5.2385135,1.6149287,1.9904165,0.58166975,3.0227933,-5.830616,1.0473201,-2.287128,-3.0335538,-2.4679945,1.8369745,-2.3457382,-2.4748075,-3.144652,2.0408516,3.583377,5.2935047,-1.3136636,1.9136583,-1.1603553,0.029554402,-3.010129,-3.1047688,0.23894162,-0.63850176,0.13767666,-1.5302411,-1.1026652,-1.9112879,0.27654684,-0.8538166,-0.9116896,2.094978,0.12689634,-2.369854,1.2743863,1.0001005,1.264416,-0.6291052,-1.3552945,1.0329696,0.19331071
205,15.264932,-1.0821924,3.381497,-3.1777446,2.2859385,1.0644718,0.27565038,-1.3879676,3.0682535,3.4203594,0.6229882,0.5164352,0.2434281,-3.5398746,-0.36262447,-1.4703275,-0.8515025,3.0541654,0.4424572,-1.2806977,0.3860838,2.227715,-1.0241009,1.3086319,-0.6153802,1.1121475,0.6239682,-0.14496146,-2.1707194,0.7761779,0.74386835,0.1621425,-1.5676026,0.92885584,-1.5285286,3.4324293,2.154102,-1.0253432,2.7015812,-0.82948995,-2.3788548,0.32927173,-1.0003358,-0.23262595,-0.6587183,1.7952532,-0.42414758,0.42358422,-0.3362104,0.1329895
228,-4.2334156,-6.799253,0.15607874,1.3445519,2.2551866,0.2596679,-1.7142248,-0.42525885,2.422255,1.8334913,-6.9270506,0.09112195,6.118133,-3.6198683,-1.7661815,-2.3039324,0.6916331,1.0579381,0.55697924,1.7915281,-5.16137,1.0507522,-2.319733,-0.07955215,1.1470507,1.3015542,1.6443068,1.2803022,-1.4932402,0.7869095,1.8042413,0.7237962,1.0650575,0.06541027,1.2561502,2.5091615,-0.97550035,-0.6892407,0.56779474,-0.28178626,0.51958156,-0.7216605,-0.25789458,2.914846,0.9149477,1.39504,-1.3009601,3.1178691,1.6832863,2.609196
